         MDL           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
EigMode    1  -3.887e-01   2.552e+00  -1.275e-03  -3.692e-01   6.522e-01   3.338e+00  -2.506e+00   3.039e+00  -3.818e+00   1.045e+00  -8.872e-01   4.356e+00   2.440e+00   8.601e-01  -3.925e+00  -5.373e+00   7.847e-01  -1.812e+00  -3.206e+00   3.220e+00
EigMode    2  -1.554e-03   2.651e+00  -2.189e+00   2.744e+00   8.126e-01   8.680e-01   2.826e+00  -9.394e-02   8.981e-01  -3.560e+00  -4.600e+00   5.482e-01  -2.046e-01  -1.981e+00   9.608e-02   3.592e-01   3.527e-01  -8.980e-02  -1.746e-01   7.383e-01
EigMode    3  -1.436e+00  -9.572e-01   4.288e-01   1.747e+00  -1.518e+00  -1.404e-01  -5.127e-01  -8.073e-01  -4.146e-01   2.050e+00  -6.136e-02  -1.344e+00   3.091e+00  -3.476e+00  -2.329e-01   2.450e+00  -1.715e-01   1.681e-01  -1.822e+00   2.959e+00
EigMode    4  -1.028e+00  -1.264e+00   9.709e-01   1.996e-01   2.132e+00   7.169e-01  -8.580e-01   1.159e+00   4.225e-01  -6.540e-01  -6.028e-01  -1.231e+00   7.368e-01  -5.325e-01   3.876e-03  -3.035e-01   1.881e+00   1.050e+00  -1.097e+00  -1.700e+00
EigMode    5   1.590e+00   2.747e-01   1.465e+00  -1.295e+00   2.175e-01   4.695e-01  -1.396e+00  -4.659e-03   1.654e-01   7.870e-01  -1.775e+00   1.169e+00  -1.798e-01  -2.044e+00  -3.093e-01   7.139e-01  -6.599e-01   2.612e-01   1.334e+00  -7.842e-01
EigMode    6  -4.502e-01   5.755e-01  -7.192e-01  -1.490e+00  -8.054e-01   1.358e+00  -2.561e-01   2.517e-01   8.799e-01  -1.277e+00   8.810e-01  -2.577e-01   9.348e-01   1.315e-01  -1.655e+00   1.742e+00   9.078e-01  -1.081e+00   6.645e-01  -3.360e-01
EigMode    7   1.114e+00   5.201e-01   3.011e-01   1.081e+00  -4.915e-02  -2.968e-01   9.750e-01   6.986e-01  -6.108e-01   3.334e-02   9.400e-01  -9.820e-01   8.394e-01  -6.792e-01  -1.401e+00  -5.328e-01  -9.302e-01  -2.311e-02   3.632e-01  -1.360e+00
EigMode    8  -1.042e+00   1.489e+00   4.706e-02  -6.287e-01   1.571e-01  -5.226e-01   1.096e-01  -1.427e+00   6.769e-01   5.749e-01   9.367e-02  -2.021e-01   8.358e-01  -2.930e-01  -1.279e-01  -1.163e+00   4.230e-01   7.317e-01   5.674e-01  -2.993e-01
EigMode    9   9.515e-01  -1.015e+00   4.100e-01  -3.124e-01   4.793e-01  -1.052e+00   4.086e-01  -4.030e-01   1.180e-01  -5.537e-01  -1.315e-01  -2.858e-01   1.456e-01  -1.460e-01  -9.167e-01  -5.954e-01   1.162e+00  -3.583e-01   7.597e-01   1.336e+00
EigMode   10  -5.100e-01   8.825e-01   4.336e-01   3.378e-01   1.407e+00  -7.325e-01  -1.013e+00  -8.658e-03  -4.256e-01  -4.528e-01   8.807e-02  -4.961e-01  -8.699e-02   4.448e-01  -1.799e-01   7.381e-01  -7.799e-01  -5.620e-01   3.867e-01   5.284e-01
EigMode   11   7.661e-01   4.133e-01  -6.142e-01   7.430e-01  -5.885e-01  -1.732e-01  -1.377e+00  -1.007e-01   1.460e-01  -2.717e-01   2.138e-01  -2.499e-01  -2.857e-01   7.731e-02  -1.651e-01  -5.192e-02   5.810e-01   8.722e-01  -1.061e-02   7.621e-02
EigMode   12  -9.658e-02   1.352e-01   6.413e-01   1.295e-01   2.210e-01  -4.039e-02   3.096e-01  -7.571e-01  -2.483e-01  -5.040e-01   7.863e-01   8.884e-01  -6.975e-01  -4.258e-01  -5.377e-01   4.219e-01   1.987e-01   4.527e-01  -7.552e-01  -1.220e-01
EigMode   13   3.467e-01   1.546e-01   4.957e-01  -5.665e-01  -1.386e-01   4.297e-01  -4.316e-02   1.004e-01   3.683e-01  -8.648e-01   3.227e-01  -5.070e-01   1.706e-01  -1.975e-01   4.961e-01  -4.546e-01  -7.098e-01   3.910e-01  -3.795e-01   5.856e-01
EigMode   14  -6.101e-01  -3.350e-01   3.406e-01   7.296e-01  -3.162e-01   9.696e-02  -3.595e-01   1.737e-01   4.746e-01  -3.990e-01   4.124e-01   5.042e-01  -6.436e-02  -4.533e-01   2.222e-01  -5.100e-01  -8.106e-02  -4.920e-01   7.087e-01  -4.243e-02
EigMode   15   4.908e-01   5.181e-01   2.608e-01   8.141e-02   2.274e-02   1.100e-01  -7.405e-02  -2.571e-01   1.496e-01   2.568e-01   1.839e-01  -3.737e-01  -2.722e-01  -2.811e-01   5.241e-01  -1.254e-01   5.778e-01  -1.117e+00  -4.970e-01  -1.787e-01
EigMode   16   1.119e-01  -1.232e-01   7.570e-01   3.688e-01  -4.795e-01   1.316e-01  -8.612e-02  -6.068e-01  -3.251e-02  -2.524e-01  -5.303e-01   1.643e-02   4.995e-01   8.143e-01  -9.615e-02   7.356e-02  -5.640e-02  -1.256e-01  -1.162e-01  -2.680e-01
EigMode   17   4.874e-02  -1.582e-01  -2.035e-01   4.426e-02   1.975e-01   7.218e-01  -4.239e-03  -5.644e-01  -9.795e-01  -1.707e-01   1.849e-01  -1.988e-01   8.901e-02  -1.494e-01   3.848e-01  -5.130e-02   1.662e-01   7.199e-02   5.631e-01   7.750e-03
EigMode   18   3.937e-01  -3.438e-01  -5.811e-01   5.376e-02   5.353e-01  -3.391e-02  -1.981e-01  -4.379e-01   3.731e-01  -6.777e-02   1.943e-01   4.372e-01   5.862e-01  -3.405e-03   1.142e-01  -2.969e-02  -3.460e-01  -1.960e-01  -2.550e-01  -1.951e-01
EigMode   19   2.882e-02   1.575e-01   2.454e-02  -2.236e-01  -2.240e-01  -6.067e-01  -5.663e-03   2.939e-01  -4.288e-01  -3.748e-01   5.996e-02   3.213e-01   4.576e-01  -1.030e-01   4.760e-01   1.198e-01   2.490e-01   1.501e-04  -3.171e-02  -1.903e-01
EigMode   20   4.809e-15   5.038e-15   5.058e-15   4.744e-15   4.732e-15   4.918e-15   4.990e-15   5.024e-15   4.532e-15   5.593e-15   5.246e-15   5.206e-15   5.093e-15   5.232e-15   4.553e-15   4.143e-15   5.038e-15   4.649e-15   4.802e-15   5.565e-15
