         MDL           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
EigMode    1  -2.000e+00   7.036e+00   1.701e-01   1.967e-01   2.476e+00   9.579e+00  -7.788e+00   8.601e+00  -1.282e+01   3.737e+00  -2.727e+00   1.330e+01   7.945e+00   3.353e+00  -1.165e+01  -1.743e+01   1.797e+00  -4.600e+00  -1.211e+01   1.293e+01
EigMode    2  -2.685e+00   9.011e+00  -7.555e+00   8.283e+00   3.566e+00   4.789e+00   9.813e+00   2.009e-01   2.564e+00  -1.233e+01  -1.272e+01  -1.402e+00   1.123e+00  -5.334e+00   4.956e-01   1.637e+00   2.680e+00  -1.677e+00  -2.014e+00   1.556e+00
EigMode    3   4.134e+00   4.160e+00  -1.050e+00  -5.456e+00   4.571e+00   1.312e-01   4.305e-01   3.575e+00   1.133e+00  -6.034e+00  -1.920e+00   5.524e+00  -1.019e+01   1.046e+01   1.917e+00  -8.623e+00   4.841e-01   7.258e-01   5.178e+00  -9.143e+00
EigMode    4  -3.750e+00   6.783e-01   1.885e+00   6.768e+00   3.919e+00  -7.976e+00  -1.930e+00  -4.919e+00  -2.012e+00   3.670e+00  -5.450e+00   2.625e+00  -5.022e+00   2.657e+00   7.960e+00  -2.549e+00  -5.098e+00   5.816e+00  -2.825e+00   5.552e+00
EigMode    5  -2.344e+00  -3.140e+00   7.144e+00   5.676e-01   5.701e+00   1.848e+00  -3.875e+00   3.936e+00   2.803e-01   9.900e-01  -5.020e+00  -2.798e+00   3.481e+00  -3.251e+00   2.803e+00  -1.311e+00   4.406e+00   2.534e+00  -3.794e+00  -8.159e+00
EigMode    6   6.379e+00   1.667e-01   2.316e+00  -2.128e+00  -3.634e-01   1.153e+00  -3.972e+00   8.344e-01  -1.995e-01   9.063e-01  -6.471e+00   6.815e+00  -2.086e+00  -6.980e+00  -1.059e+00   4.483e+00  -4.126e+00  -2.937e-01   3.947e+00   6.785e-01
EigMode    7  -5.795e+00   9.636e+00   1.335e+00  -3.890e+00   3.360e-01   7.518e-01  -3.702e+00  -4.375e+00   1.888e+00   1.859e+00   4.802e-01   4.488e-03   5.925e-01   8.945e-02  -1.981e+00   2.734e+00  -1.461e-01   1.457e+00   6.607e-01  -1.935e+00
EigMode    8   4.786e+00   5.092e+00   3.955e-01   2.566e+00  -1.027e-01  -7.994e-01   3.483e+00   8.166e-01  -3.466e+00   4.221e+00   1.199e+00  -4.553e+00   6.566e-01  -2.860e+00  -1.325e+00  -3.532e+00  -4.576e+00   1.415e+00   3.564e-01  -3.772e+00
EigMode    9  -1.142e+00   3.868e-01  -3.915e+00   1.680e+00   2.249e+00   1.091e+00  -1.988e+00   5.350e+00  -3.384e+00   8.186e-01   1.413e+00  -3.554e-01  -2.874e+00   2.464e+00  -3.716e-01   6.975e+00  -2.830e+00  -1.391e-01  -3.452e+00  -1.975e+00
EigMode   10   7.548e-01  -9.894e-01  -3.030e+00   3.586e+00   1.195e-01   4.386e-02  -2.319e+00  -1.209e+00   2.990e+00  -1.582e+00   3.442e+00   2.992e+00  -5.925e-01  -2.722e+00  -3.267e+00  -1.410e+00   7.018e-01   5.952e+00  -1.431e+00  -2.032e+00
EigMode   11  -1.235e+00   8.203e-01  -9.669e-01  -9.259e-01  -6.753e+00   2.668e+00   6.464e-01   2.060e+00   1.754e+00   7.560e-01  -1.380e-01   2.136e+00   6.848e-01  -5.487e-01   5.519e+00  -1.139e+00  -1.992e+00   1.054e+00  -2.701e+00  -1.698e+00
EigMode   12   3.432e+00   1.936e+00   1.658e+00   6.248e-01  -5.559e-01   1.654e+00  -4.923e+00   2.436e-01   1.105e+00  -3.737e+00   1.392e+00  -4.377e+00  -1.381e+00   1.647e-01   1.989e+00  -4.593e-01  -3.704e-01  -1.683e-02  -1.329e+00   2.950e+00
EigMode   13  -1.485e+00  -6.615e-01  -1.986e-01  -4.360e+00   3.070e+00  -1.131e+00   1.591e+00   3.048e+00   2.227e+00  -1.894e+00   7.915e-01  -8.294e-01   1.939e+00  -1.266e+00  -2.205e-01  -8.709e-01  -4.557e+00   2.693e+00  -2.043e-01   2.318e+00
EigMode   14   2.547e-01   1.029e-01  -4.774e+00  -4.461e-01  -1.047e+00  -1.288e+00  -2.836e+00   2.510e+00   1.330e+00   2.995e+00  -3.245e+00  -2.608e+00   1.303e+00   8.915e-01  -6.008e-02  -9.949e-01   2.064e+00   1.704e+00   3.084e+00   1.060e+00
EigMode   15  -2.069e+00   1.588e-01   2.202e+00   4.005e+00  -1.819e+00  -1.865e+00  -1.652e+00   2.281e+00   1.557e+00  -1.883e+00  -8.673e-02   5.583e-01   2.240e+00   1.675e+00  -1.687e+00  -3.153e-01  -2.956e+00  -2.025e+00   2.855e+00  -1.176e+00
EigMode   16   1.130e+00  -1.310e+00   1.329e+00  -5.118e-01  -2.023e+00   1.999e+00   8.299e-01  -1.813e+00  -1.542e+00  -1.140e+00  -2.761e+00  -1.024e+00   1.572e+00   3.909e+00  -2.338e+00   1.422e+00  -1.278e+00   4.170e+00  -4.512e-01  -1.680e-01
EigMode   17  -2.769e-01  -1.435e+00  -2.369e+00   6.329e-01   2.506e+00   3.737e+00  -1.475e+00  -2.909e+00  -6.937e-01   2.004e-01   6.183e-01   8.450e-02   2.283e+00   3.764e-01   2.153e+00  -8.720e-01  -2.571e+00  -1.166e+00   2.124e+00  -9.476e-01
